city;country;price;size;rooms;latitude;longitude;address
berlin;DE;276900;73.32;3;52.4755137;13.427989412863875;"Kopfstraße 40, Neukölln (Neukölln), Berlin"
berlin;DE;222900;50.64;2;;;"Erasmusstraße 2, Tiergarten (Tiergarten), Berlin"
berlin;DE;250000;64.28;2;52.5711856;13.3455963;"Reinickendorf (Reinickendorf), Berlin"
berlin;DE;199500;33.38;1;52.5250726;13.4183068;"Mollstraße 3A, Mitte (Mitte), Berlin"
berlin;DE;199500;29.37;1;52.5158643;13.4187906;"Holzmarktstraße 75, Mitte (Mitte), Berlin"
berlin;DE;888000;111.12;3;52.5034002;13.3386373;"Charlottenburg (Charlottenburg), Berlin"
berlin;DE;1290000;250;6;52.437293;13.3138645;"Lichterfelde (Steglitz), Berlin"
berlin;DE;2500000;237;6;52.5283441;13.4234544;"Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;569000;73;3;52.5122154;13.4502904;"Friedrichshain (Friedrichshain), Berlin"
berlin;DE;249110;70.7;2;52.4038637;13.4020246;"Goethestr. 11, Lichtenrade (Tempelhof), Berlin"
berlin;DE;248298;70.41;2;52.4038637;13.4020246;"Goethestr. 11, Lichtenrade (Tempelhof), Berlin"
berlin;DE;341500;68.29;2;52.5266358;13.45183271600564;"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;210100;41.85;1;52.5266358;13.45183271600564;"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;176100;38.93;1;52.5266358;13.45183271600564;"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;509300;105.22;3;52.5266358;13.45183271600564;"Ebertystraße 54, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;199000;48;2;52.49527175;13.419188436329664;"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin"
berlin;DE;199900;34;1;52.49527175;13.419188436329664;"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin"
berlin;DE;210736;65.56;2;52.4533292;13.322384425843175;"Schützenstr. 16, Steglitz (Steglitz), Berlin"
berlin;DE;220570;65.56;2;52.4533292;13.322384425843175;"Schützenstr. 16, Steglitz (Steglitz), Berlin"
berlin;DE;206151;57.58;2;52.4533292;13.322384425843175;"Schützenstr. 16, Steglitz (Steglitz), Berlin"
berlin;DE;410000;70.71;3;52.5122154;13.4502904;"Friedrichshain (Friedrichshain), Berlin"
berlin;DE;179013;61.58;3;52.4572569;13.3222865;"Steglitz (Steglitz), Berlin"
berlin;DE;299500;43.51;1.5;52.5544816;13.4248497;"Talstr. 4, Pankow (Pankow), Berlin"
